match_id,match_date,year,round,venue,crowd,home_team,away_team,home_score,away_score,margin_home,is_final,target_result,target_margin,decade,venue_state,away_team_state,away_is_interstate,team_home,form_win_rate_last5_home,form_avg_score_last5_home,form_avg_margin_last5_home,win_streak_home,days_rest_home,ladder_pos_before_home,h2h_win_rate_prior_home,is_interstate_home,team_away,form_win_rate_last5_away,form_avg_score_last5_away,form_avg_margin_last5_away,win_streak_away,days_rest_away,ladder_pos_before_away,h2h_win_rate_prior_away,is_interstate_away
Collingwood Magpies_Melbourne Demons_1983-03-26_1,1983-03-26,1983,1,Melbourne Cricket Ground,72274.0,Melbourne Demons,Collingwood Magpies,125,135,-10,False,AWAY_WIN,-10,1980,VIC,VIC,0,Melbourne Demons,,,,,,1.0,,0,Collingwood Magpies,,,,,,1.0,1.0,0
Carlton Blues_Richmond Tigers_1983-03-26_1,1983-03-26,1983,1,Princes Park,28498.0,Carlton Blues,Richmond Tigers,136,76,60,False,HOME_WIN,60,1980,VIC,VIC,0,Carlton Blues,,,,,,1.0,,0,Richmond Tigers,,,,,,1.0,0.0,0
Fitzroy Lions_Hawthorn Hawks_1983-03-26_1,1983-03-26,1983,1,Junction Oval,15626.0,Fitzroy Lions,Hawthorn Hawks,112,131,-19,False,AWAY_WIN,-19,1980,VIC,VIC,0,Fitzroy Lions,,,,,,1.0,,0,Hawthorn Hawks,,,,,,1.0,1.0,0
North Melbourne Kangaroos_St Kilda Saints_1983-03-26_1,1983-03-26,1983,1,Aegis Park,18496.0,North Melbourne Kangaroos,St Kilda Saints,100,87,13,False,HOME_WIN,13,1980,TAS,VIC,1,North Melbourne Kangaroos,,,,,,1.0,1.0,1,St Kilda Saints,,,,,,1.0,,1
Geelong Cats_Western Bulldogs_1983-03-26_1,1983-03-26,1983,1,Waverley Park,18377.0,Geelong Cats,Western Bulldogs,106,75,31,False,HOME_WIN,31,1980,VIC,VIC,0,Geelong Cats,,,,,,1.0,1.0,0,Western Bulldogs,,,,,,1.0,,0
Essendon Bombers_Sydney Swans_1983-03-27_1,1983-03-27,1983,1,Sydney Cricket Ground,11916.0,Sydney Swans,Essendon Bombers,111,110,1,False,HOME_WIN,1,1980,NSW,VIC,1,Sydney Swans,,,,,,1.0,,0,Essendon Bombers,,,,,,1.0,0.0,1
Melbourne Demons_Richmond Tigers_1983-04-02_2,1983-04-02,1983,2,Melbourne Cricket Ground,41889.0,Richmond Tigers,Melbourne Demons,100,119,-19,False,AWAY_WIN,-19,1980,VIC,VIC,0,Richmond Tigers,0.0,76.0,-60.0,-1.0,7.0,7.0,0.0,0,Melbourne Demons,0.0,125.0,-10.0,-1.0,7.0,7.0,,0
Collingwood Magpies_Geelong Cats_1983-04-02_2,1983-04-02,1983,2,Victoria Park,34751.0,Collingwood Magpies,Geelong Cats,96,101,-5,False,AWAY_WIN,-5,1980,VIC,VIC,0,Collingwood Magpies,1.0,135.0,10.0,1.0,7.0,1.0,0.0,0,Geelong Cats,1.0,106.0,31.0,1.0,7.0,1.0,,0
Carlton Blues_Western Bulldogs_1983-04-02_2,1983-04-02,1983,2,Western Oval,20414.0,Western Bulldogs,Carlton Blues,99,82,17,False,HOME_WIN,17,1980,VIC,VIC,0,Western Bulldogs,0.0,75.0,-31.0,-1.0,7.0,7.0,,0,Carlton Blues,1.0,136.0,60.0,1.0,7.0,1.0,0.0,0
Essendon Bombers_St Kilda Saints_1983-04-04_2,1983-04-04,1983,2,Windy Hill,28071.0,Essendon Bombers,St Kilda Saints,131,70,61,False,HOME_WIN,61,1980,VIC,VIC,0,Essendon Bombers,0.0,110.0,-1.0,-1.0,8.0,7.0,,0,St Kilda Saints,0.0,87.0,-13.0,-1.0,9.0,7.0,0.0,0
Fitzroy Lions_North Melbourne Kangaroos_1983-04-04_2,1983-04-04,1983,2,Waverley Park,23788.0,North Melbourne Kangaroos,Fitzroy Lions,43,88,-45,False,AWAY_WIN,-45,1980,VIC,VIC,0,North Melbourne Kangaroos,1.0,100.0,13.0,1.0,9.0,1.0,0.0,0,Fitzroy Lions,0.0,112.0,-19.0,-1.0,9.0,7.0,,0
Hawthorn Hawks_Sydney Swans_1983-04-04_2,1983-04-04,1983,2,Princes Park,16295.0,Hawthorn Hawks,Sydney Swans,70,45,25,False,HOME_WIN,25,1980,VIC,NSW,1,Hawthorn Hawks,1.0,131.0,19.0,1.0,9.0,1.0,,0,Sydney Swans,1.0,111.0,1.0,1.0,8.0,1.0,0.0,1
Hawthorn Hawks_St Kilda Saints_1983-04-09_3,1983-04-09,1983,3,Moorabbin Oval,19227.0,St Kilda Saints,Hawthorn Hawks,42,171,-129,False,AWAY_WIN,-129,1980,VIC,VIC,0,St Kilda Saints,0.0,78.5,-37.0,-2.0,5.0,11.0,0.0,0,Hawthorn Hawks,1.0,100.5,22.0,2.0,5.0,1.0,,0
Melbourne Demons_Western Bulldogs_1983-04-09_3,1983-04-09,1983,3,Western Oval,20485.0,Western Bulldogs,Melbourne Demons,111,79,32,False,HOME_WIN,32,1980,VIC,VIC,0,Western Bulldogs,0.5,87.0,-7.0,1.0,7.0,3.0,,0,Melbourne Demons,0.5,122.0,4.5,1.0,7.0,3.0,0.0,0
