property_id,amenity_name
P001,Gated community
P001,Security
P001,Park
P001,Community center
P002,Swimming pool
P002,Gym
P002,Security
P002,Parking
P003,Security
P003,Parking
P004,Park
P004,Security
P004,Community center
P005,Gym
P005,Parking
P005,Security
P006,Park
P006,Security
P006,Nearby commercial area
P007,Park
P007,Security
P007,Parking
P008,Clubhouse
P008,Security
P008,Parking
P008,Fitness center
P009,Nearby commercial area
P009,Parking
P009,Gated community
P010,Community center
P010,Clubhouse
P010,Nearby commercial area
P010,Swimming pool
P011,Security
P011,Parking
P011,Rooftop lounge
P012,Swimming pool
P012,Elevator
P012,Mosque
P012,Nearby commercial area
P012,Gym
P013,Clubhouse
P013,Mosque
P013,Gym
P013,Park
P014,Parking
P014,Swimming pool
P014,Mosque
P014,Kids play area
P015,Rooftop lounge
P015,Nearby commercial area
P015,Kids play area
P016,Fitness center
P016,Rooftop lounge
P016,Swimming pool
P016,Kids play area
P016,Nearby commercial area
P017,Elevator
P017,Security
P017,Park
P018,Swimming pool
P018,Fitness center
P018,Gated community
P018,Mosque
P018,Security
P019,Rooftop lounge
P019,Kids play area
P019,Swimming pool
P019,Fitness center
P019,Park
P020,Rooftop lounge
P020,Gated community
P020,Nearby commercial area
P020,Gym
P020,Clubhouse
P021,Clubhouse
P021,Elevator
P021,Security
P021,Fitness center
P021,Park
P022,Mosque
P022,Rooftop lounge
P022,Gym
P022,Clubhouse
P023,Community center
P023,Gated community
P023,Security
P023,Kids play area
P023,Mosque
P024,Kids play area
P024,Nearby commercial area
P024,Elevator
P025,Clubhouse
P025,Elevator
P025,Kids play area
P025,Gated community
P026,Parking
P026,Park
P026,Swimming pool
P027,Park
P027,Parking
P027,Clubhouse
P028,Parking
P028,Kids play area
P028,Elevator
P028,Fitness center
P029,Clubhouse
P029,Fitness center
P029,Elevator
P029,Park
P029,Gated community
P030,Community center
P030,Nearby commercial area
P030,Elevator
P030,Gated community
P030,Backup generator
P031,Swimming pool
P031,Parking
P031,Park
P032,Park
P032,Gym
P032,Security
P032,Community center
P033,Swimming pool
P033,Security
P033,Elevator
P034,Rooftop lounge
P034,Elevator
P034,Gated community
P034,Security
P035,Kids play area
P035,Clubhouse
P035,Fitness center
P036,Park
P036,Gated community
P036,Swimming pool
P036,Gym
P037,Kids play area
P037,Park
P037,Community center
P037,Elevator
P037,Rooftop lounge
P038,Elevator
P038,Clubhouse
P038,Community center
P039,Gym
P039,Swimming pool
P039,Security
P039,Elevator
P040,Security
P040,Nearby commercial area
P040,Parking
